#Sample	Not specified	
#B-Field Phi	-8.22157394398E+1	deg
RF-Frequency	Timestamp
Hz	s since 1904-01-01 12amUTC
2770000000.00	3728981986.09
2770850000.00	3728981986.10
2771700000.00	3728981986.11
2772550000.00	3728981986.12
2773400000.00	3728981986.13
2774250000.00	3728981986.13
2775100000.00	3728981986.14
2775950000.00	3728981986.15
2776800000.00	3728981986.16
2777650000.00	3728981986.17
2778500000.00	3728981986.18
2779350000.00	3728981986.19
2780200000.00	3728981986.20
2781050000.00	3728981986.20
2781900000.00	3728981986.21
2782750000.00	3728981986.22
2783600000.00	3728981986.23
2784450000.00	3728981986.24
2785300000.00	3728981986.25
2786150000.00	3728981986.26
2787000000.00	3728981986.27
2787850000.00	3728981986.28
2788700000.00	3728981986.28
2789550000.00	3728981986.29
2790400000.00	3728981986.30
2791250000.00	3728981986.31
2792100000.00	3728981986.32
2792950000.00	3728981986.33
2793800000.00	3728981986.34
2794650000.00	3728981986.35
2795500000.00	3728981986.35
2796350000.00	3728981986.36
2797200000.00	3728981986.37
2798050000.00	3728981986.38
2798900000.00	3728981986.39
2799750000.00	3728981986.40
2800600000.00	3728981986.41
2801450000.00	3728981986.41
2802300000.00	3728981986.42
2803150000.00	3728981986.43
2804000000.00	3728981986.44
2804850000.00	3728981986.45
2805700000.00	3728981986.46
2806550000.00	3728981986.47
2807400000.00	3728981986.48
2808250000.00	3728981986.49
2809100000.00	3728981986.49
2809950000.00	3728981986.50
2810800000.00	3728981986.51
2811650000.00	3728981986.52
2812500000.00	3728981986.53
2813350000.00	3728981986.54
2814200000.00	3728981986.55
2815050000.00	3728981986.55
2815900000.00	3728981986.56
2816750000.00	3728981986.57
2817600000.00	3728981986.58
2818450000.00	3728981986.59
2819300000.00	3728981986.60
2820150000.00	3728981986.61
2821000000.00	3728981986.61
2821850000.00	3728981986.62
2822700000.00	3728981986.63
2823550000.00	3728981986.64
2824400000.00	3728981986.65
2825250000.00	3728981986.66
2826100000.00	3728981986.67
2826950000.00	3728981986.68
2827800000.00	3728981986.68
2828650000.00	3728981986.70
2829500000.00	3728981986.70
2830350000.00	3728981986.71
2831200000.00	3728981986.72
2832050000.00	3728981986.73
2832900000.00	3728981986.74
2833750000.00	3728981986.75
2834600000.00	3728981986.75
2835450000.00	3728981986.76
2836300000.00	3728981986.77
2837150000.00	3728981986.78
2838000000.00	3728981986.79
2838850000.00	3728981986.80
2839700000.00	3728981986.81
2840550000.00	3728981986.82
2841400000.00	3728981986.82
2842250000.00	3728981986.83
2843100000.00	3728981986.84
2843950000.00	3728981986.85
2844800000.00	3728981986.86
2845650000.00	3728981986.87
2846500000.00	3728981986.88
2847350000.00	3728981986.88
2848200000.00	3728981986.89
2849050000.00	3728981986.90
2849900000.00	3728981986.91
2850750000.00	3728981986.92
2851600000.00	3728981986.93
2852450000.00	3728981986.94
2853300000.00	3728981986.95
2854150000.00	3728981986.96
2855000000.00	3728981986.96
2855850000.00	3728981986.97
2856700000.00	3728981986.98
2857550000.00	3728981986.99
2858400000.00	3728981987.00
2859250000.00	3728981987.01
2860100000.00	3728981987.02
2860950000.00	3728981987.03
2861800000.00	3728981987.03
2862650000.00	3728981987.04
2863500000.00	3728981987.05
2864350000.00	3728981987.06
2865200000.00	3728981987.07
2866050000.00	3728981987.08
2866900000.00	3728981987.08
2867750000.00	3728981987.09
2868600000.00	3728981987.10
2869450000.00	3728981987.11
2870300000.00	3728981987.12
2871150000.00	3728981987.13
2872000000.00	3728981987.14
2872850000.00	3728981987.15
2873700000.00	3728981987.16
2874550000.00	3728981987.17
2875400000.00	3728981987.17
2876250000.00	3728981987.18
2877100000.00	3728981987.19
2877950000.00	3728981987.20
2878800000.00	3728981987.21
2879650000.00	3728981987.22
2880500000.00	3728981987.23
2881350000.00	3728981987.24
2882200000.00	3728981987.25
2883050000.00	3728981987.26
2883900000.00	3728981987.26
2884750000.00	3728981987.27
2885600000.00	3728981987.28
2886450000.00	3728981987.29
2887300000.00	3728981987.30
2888150000.00	3728981987.31
2889000000.00	3728981987.32
2889850000.00	3728981987.33
2890700000.00	3728981987.34
2891550000.00	3728981987.35
2892400000.00	3728981987.35
2893250000.00	3728981987.36
2894100000.00	3728981987.37
2894950000.00	3728981987.38
2895800000.00	3728981987.39
2896650000.00	3728981987.40
2897500000.00	3728981987.41
2898350000.00	3728981987.41
2899200000.00	3728981987.42
2900050000.00	3728981987.43
2900900000.00	3728981987.44
2901750000.00	3728981987.45
2902600000.00	3728981987.46
2903450000.00	3728981987.47
2904300000.00	3728981987.48
2905150000.00	3728981987.48
2906000000.00	3728981987.49
2906850000.00	3728981987.50
2907700000.00	3728981987.51
2908550000.00	3728981987.52
2909400000.00	3728981987.53
2910250000.00	3728981987.54
2911100000.00	3728981987.55
2911950000.00	3728981987.56
2912800000.00	3728981987.56
2913650000.00	3728981987.57
2914500000.00	3728981987.58
2915350000.00	3728981987.59
2916200000.00	3728981987.60
2917050000.00	3728981987.61
2917900000.00	3728981987.62
2918750000.00	3728981987.62
2919600000.00	3728981987.63
2920450000.00	3728981987.64
2921300000.00	3728981987.65
2922150000.00	3728981987.66
2923000000.00	3728981987.67
2923850000.00	3728981987.68
2924700000.00	3728981987.68
2925550000.00	3728981987.69
2926400000.00	3728981987.70
2927250000.00	3728981987.71
2928100000.00	3728981987.72
2928950000.00	3728981987.73
2929800000.00	3728981987.74
2930650000.00	3728981987.75
2931500000.00	3728981987.75
2932350000.00	3728981987.76
2933200000.00	3728981987.77
2934050000.00	3728981987.78
2934900000.00	3728981987.79
2935750000.00	3728981987.80
2936600000.00	3728981987.81
2937450000.00	3728981987.81
2938300000.00	3728981987.82
2939150000.00	3728981987.83
2940000000.00	3728981987.84
2940850000.00	3728981987.85
2941700000.00	3728981987.86
2942550000.00	3728981987.87
2943400000.00	3728981987.88
2944250000.00	3728981987.88
2945100000.00	3728981987.89
2945950000.00	3728981987.90
2946800000.00	3728981987.91
2947650000.00	3728981987.92
2948500000.00	3728981987.93
2949350000.00	3728981987.93
2950200000.00	3728981987.94
2951050000.00	3728981987.95
2951900000.00	3728981987.96
2952750000.00	3728981987.97
2953600000.00	3728981987.98
2954450000.00	3728981987.99
2955300000.00	3728981987.99
2956150000.00	3728981988.00
2957000000.00	3728981988.01
2957850000.00	3728981988.02
2958700000.00	3728981988.03
2959550000.00	3728981988.04
2960400000.00	3728981988.05
2961250000.00	3728981988.06
2962100000.00	3728981988.07
2962950000.00	3728981988.07
2963800000.00	3728981988.08
2964650000.00	3728981988.09
2965500000.00	3728981988.10
2966350000.00	3728981988.11
2967200000.00	3728981988.12
2968050000.00	3728981988.12
2968900000.00	3728981988.13
2969750000.00	3728981988.14
