#Sample	Not specified	
#B-Field Phi	8.22601124801E+1	deg
RF-Frequency	Timestamp
Hz	s since 1904-01-01 12amUTC
2770000000.00	3728982463.67
2770850000.00	3728982463.68
2771700000.00	3728982463.69
2772550000.00	3728982463.70
2773400000.00	3728982463.71
2774250000.00	3728982463.72
2775100000.00	3728982463.72
2775950000.00	3728982463.73
2776800000.00	3728982463.74
2777650000.00	3728982463.75
2778500000.00	3728982463.76
2779350000.00	3728982463.77
2780200000.00	3728982463.78
2781050000.00	3728982463.78
2781900000.00	3728982463.79
2782750000.00	3728982463.80
2783600000.00	3728982463.81
2784450000.00	3728982463.82
2785300000.00	3728982463.83
2786150000.00	3728982463.84
2787000000.00	3728982463.85
2787850000.00	3728982463.85
2788700000.00	3728982463.86
2789550000.00	3728982463.87
2790400000.00	3728982463.88
2791250000.00	3728982463.89
2792100000.00	3728982463.90
2792950000.00	3728982463.91
2793800000.00	3728982463.92
2794650000.00	3728982463.93
2795500000.00	3728982463.93
2796350000.00	3728982463.94
2797200000.00	3728982463.95
2798050000.00	3728982463.96
2798900000.00	3728982463.97
2799750000.00	3728982463.98
2800600000.00	3728982463.99
2801450000.00	3728982463.99
2802300000.00	3728982464.00
2803150000.00	3728982464.01
2804000000.00	3728982464.02
2804850000.00	3728982464.03
2805700000.00	3728982464.04
2806550000.00	3728982464.05
2807400000.00	3728982464.06
2808250000.00	3728982464.07
2809100000.00	3728982464.07
2809950000.00	3728982464.08
2810800000.00	3728982464.09
2811650000.00	3728982464.10
2812500000.00	3728982464.11
2813350000.00	3728982464.12
2814200000.00	3728982464.13
2815050000.00	3728982464.14
2815900000.00	3728982464.14
2816750000.00	3728982464.15
2817600000.00	3728982464.16
2818450000.00	3728982464.17
