#Sample	Not specified	
#B-Field Phi	-1.72597830857E+2	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728982865.76	1092942.00000	1094009.00000	0.999024688097
2770850000.00	3728982868.04	1067478.00000	1067888.00000	0.999616064606
2771700000.00	3728982870.60	1075837.00000	1076898.00000	0.999014762772
2772550000.00	3728982871.92	1088559.00000	1089011.00000	0.999584944505
2773400000.00	3728982873.21	1078481.00000	1078230.00000	1.00023278892
2774250000.00	3728982874.50	1076978.00000	1076595.00000	1.00035575123
2775100000.00	3728982875.83	1068591.00000	1069295.00000	0.999341622284
2775950000.00	3728982877.12	1069731.00000	1068773.00000	1.00089635498
2776800000.00	3728982878.41	1081024.00000	1081170.00000	0.999864961107
2777650000.00	3728982879.74	1083958.00000	1084184.00000	0.999791548298
2778500000.00	3728982881.03	1090314.00000	1091207.00000	0.999181640147
2779350000.00	3728982882.32	1081567.00000	1081733.00000	0.999846542539
2780200000.00	3728982883.65	1073966.00000	1076371.00000	0.997765640286
2781050000.00	3728982884.94	1076541.00000	1077603.00000	0.999014479358
2781900000.00	3728982886.22	1078172.00000	1082571.00000	0.995936525179
2782750000.00	3728982887.50	1082221.00000	1085077.00000	0.997367928728
2783600000.00	3728982888.82	1070820.00000	1070943.00000	0.999885147949
2784450000.00	3728982890.11	1070704.00000	1072900.00000	0.997953210924
2785300000.00	3728982891.44	1086522.00000	1087525.00000	0.999077722351
2786150000.00	3728982892.73	1075140.00000	1076053.00000	0.999151528782
2787000000.00	3728982894.03	1072867.00000	1074775.00000	0.998224744714
2787850000.00	3728982895.36	1063313.00000	1065181.00000	0.998246307435
2788700000.00	3728982896.65	1064779.00000	1067291.00000	0.997646377605
2789550000.00	3728982897.94	1071806.00000	1070694.00000	1.00103857872
2790400000.00	3728982899.27	1063915.00000	1066379.00000	0.997689376854
2791250000.00	3728982900.56	1064419.00000	1065092.00000	0.999368129701
2792100000.00	3728982901.85	1058310.00000	1058089.00000	1.00020886712
2792950000.00	3728982903.18	1070894.00000	1072796.00000	0.998227062741
2793800000.00	3728982904.47	1069512.00000	1070517.00000	0.999061201270
2794650000.00	3728982905.76	1069889.00000	1074590.00000	0.995625308257
2795500000.00	3728982907.09	1069367.00000	1071548.00000	0.997964626876
2796350000.00	3728982908.38	1074944.00000	1075710.00000	0.999287912170
2797200000.00	3728982909.67	1080580.00000	1082265.00000	0.998443080022
2798050000.00	3728982911.00	1062788.00000	1064219.00000	0.998655351953
2798900000.00	3728982912.29	1064499.00000	1066378.00000	0.998237960648
2799750000.00	3728982913.58	1066895.00000	1069014.00000	0.998017799580
2800600000.00	3728982914.85	1075288.00000	1075605.00000	0.999705282144
2801450000.00	3728982916.17	1065731.00000	1068974.00000	0.996966249881
2802300000.00	3728982917.46	1067370.00000	1066245.00000	1.00105510460
2803150000.00	3728982918.79	1063866.00000	1064665.00000	0.999249529195
2804000000.00	3728982920.08	1073133.00000	1075963.00000	0.997369798032
2804850000.00	3728982921.37	1062121.00000	1064106.00000	0.998134584337
2805700000.00	3728982922.70	1052669.00000	1055762.00000	0.997070362449
2806550000.00	3728982923.99	1057146.00000	1058155.00000	0.999046453497
2807400000.00	3728982925.28	1063469.00000	1066699.00000	0.996971966787
2808250000.00	3728982926.60	1067108.00000	1068359.00000	0.998829045293
2809100000.00	3728982927.89	1082213.00000	1082877.00000	0.999386818632
2809950000.00	3728982929.17	1085455.00000	1085625.00000	0.999843408175
2810800000.00	3728982930.50	1079788.00000	1082451.00000	0.997539842450
2811650000.00	3728982931.79	1094793.00000	1093660.00000	1.00103597096
2812500000.00	3728982933.08	1082985.00000	1083725.00000	0.999317169946
2813350000.00	3728982934.41	1088866.00000	1090131.00000	0.998839589004
2814200000.00	3728982935.70	1074703.00000	1075011.00000	0.999713491304
2815050000.00	3728982936.99	1073543.00000	1073689.00000	0.999864020214
2815900000.00	3728982938.32	1070802.00000	1072646.00000	0.998280886704
2816750000.00	3728982939.61	1069640.00000	1070692.00000	0.999017457868
2817600000.00	3728982940.90	1060381.00000	1062826.00000	0.997699529368
2818450000.00	3728982942.23	1068587.00000	1068881.00000	0.999724945995
2819300000.00	3728982943.52	1071191.00000	1069958.00000	1.00115238168
2820150000.00	3728982944.81	1086486.00000	1088269.00000	0.998361618313
2821000000.00	3728982946.14	1093154.00000	1097338.00000	0.996187136507
2821850000.00	3728982947.43	1076096.00000	1078572.00000	0.997704372077
2822700000.00	3728982948.72	1083976.00000	1083639.00000	1.00031098918
2823550000.00	3728982950.04	1093860.00000	1093693.00000	1.00015269367
2824400000.00	3728982951.33	1092710.00000	1095436.00000	0.997511493141
2825250000.00	3728982952.66	1092445.00000	1095493.00000	0.997217691030
2826100000.00	3728982953.95	1081954.00000	1083490.00000	0.998582358859
2826950000.00	3728982955.24	1070864.00000	1071886.00000	0.999046540397
2827800000.00	3728982956.57	1077877.00000	1080663.00000	0.997421953005
2828650000.00	3728982957.86	1086218.00000	1089130.00000	0.997326306318
2829500000.00	3728982959.15	1072743.00000	1074585.00000	0.998285849886
2830350000.00	3728982960.47	1068176.00000	1070766.00000	0.997581170863
2831200000.00	3728982961.76	1066447.00000	1068368.00000	0.998201930421
2832050000.00	3728982963.05	1070636.00000	1071061.00000	0.999603197204
2832900000.00	3728982964.37	1076006.00000	1076508.00000	0.999533677409
2833750000.00	3728982965.66	1061791.00000	1061927.00000	0.999871930933
2834600000.00	3728982966.95	1062345.00000	1064484.00000	0.997990575716
2835450000.00	3728982968.28	1081969.00000	1082656.00000	0.999365449413
2836300000.00	3728982969.57	1079911.00000	1080793.00000	0.999183932538
2837150000.00	3728982970.86	1078110.00000	1078781.00000	0.999378001652
2838000000.00	3728982972.18	1073202.00000	1073790.00000	0.999452406895
2838850000.00	3728982973.47	1071599.00000	1072720.00000	0.998954992915
2839700000.00	3728982974.80	1074607.00000	1075394.00000	0.999268175199
2840550000.00	3728982976.09	1083414.00000	1082359.00000	1.00097472280
2841400000.00	3728982977.38	1094048.00000	1095210.00000	0.998939016262
2842250000.00	3728982978.71	1072404.00000	1074174.00000	0.998352222266
2843100000.00	3728982980.00	1083111.00000	1080816.00000	1.00212339566
2843950000.00	3728982981.29	1070634.00000	1071971.00000	0.998752764767
2844800000.00	3728982982.62	1063087.00000	1064908.00000	0.998289993126
2845650000.00	3728982983.91	1069204.00000	1068227.00000	1.00091459961
2846500000.00	3728982985.20	1070581.00000	1074912.00000	0.995970832961
2847350000.00	3728982986.53	1067254.00000	1067697.00000	0.999585088279
2848200000.00	3728982987.82	1068124.00000	1070807.00000	0.997494413092
2849050000.00	3728982989.11	1062237.00000	1064584.00000	0.997795382985
2849900000.00	3728982990.44	1060687.00000	1062710.00000	0.998096376246
2850750000.00	3728982991.73	1052790.00000	1059363.00000	0.993795327947
2851600000.00	3728982993.02	1052203.00000	1058632.00000	0.993927068141
2852450000.00	3728982994.33	1048112.00000	1055638.00000	0.992870662102
2853300000.00	3728982995.62	1045347.00000	1055002.00000	0.990848358581
2854150000.00	3728982996.91	1047332.00000	1056467.00000	0.991353255710
2855000000.00	3728982998.24	1042518.00000	1052547.00000	0.990471684400
2855850000.00	3728982999.53	1036569.00000	1045667.00000	0.991299333344
2856700000.00	3728983000.82	1044452.00000	1054980.00000	0.990020663899
2857550000.00	3728983002.15	1035094.00000	1046653.00000	0.988956225225
2858400000.00	3728983003.44	1044896.00000	1057183.00000	0.988377603499
2859250000.00	3728983004.73	1048568.00000	1059672.00000	0.989521285832
2860100000.00	3728983006.06	1053197.00000	1063469.00000	0.990341044262
2860950000.00	3728983007.35	1049103.00000	1058244.00000	0.991362105526
2861800000.00	3728983008.64	1041624.00000	1047411.00000	0.994474948229
2862650000.00	3728983009.96	1043729.00000	1050528.00000	0.993528016388
2863500000.00	3728983011.25	1052875.00000	1059003.00000	0.994213425269
2864350000.00	3728983012.58	1054683.00000	1059053.00000	0.995873672045
2865200000.00	3728983013.87	1048332.00000	1051387.00000	0.997094314463
2866050000.00	3728983015.16	1046325.00000	1050683.00000	0.995852221840
2866900000.00	3728983016.49	1047619.00000	1050772.00000	0.996999349050
2867750000.00	3728983017.78	1058108.00000	1060442.00000	0.997799030970
2868600000.00	3728983019.07	1061192.00000	1063600.00000	0.997735990974
2869450000.00	3728983020.40	1075325.00000	1077417.00000	0.998058319109
2870300000.00	3728983021.69	1075469.00000	1078753.00000	0.996955744271
2871150000.00	3728983022.98	1069128.00000	1070099.00000	0.999092607320
2872000000.00	3728983024.31	1067829.00000	1068761.00000	0.999127962192
2872850000.00	3728983025.60	1052780.00000	1053096.00000	0.999699932390
2873700000.00	3728983026.89	1061504.00000	1062876.00000	0.998709162687
2874550000.00	3728983028.22	1070636.00000	1070864.00000	0.999787087809
2875400000.00	3728983029.51	1079855.00000	1078635.00000	1.00113105916
2876250000.00	3728983030.80	1089265.00000	1093276.00000	0.996331210051
2877100000.00	3728983032.13	1068402.00000	1071256.00000	0.997335837559
2877950000.00	3728983033.42	1069718.00000	1072490.00000	0.997415360516
2878800000.00	3728983034.71	1068366.00000	1069460.00000	0.998977053840
2879650000.00	3728983036.03	1066774.00000	1068613.00000	0.998279077646
2880500000.00	3728983037.32	1070383.00000	1072834.00000	0.997715396790
2881350000.00	3728983038.61	1075164.00000	1079605.00000	0.995886458473
2882200000.00	3728983039.93	1053340.00000	1059599.00000	0.994093048408
2883050000.00	3728983041.22	1058725.00000	1065768.00000	0.993391619940
