#Sample	Not specified	
#B-Field Phi	9.67280712768E-4	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728984675.45	1158851.00000	1159730.00000	0.999242064963
2770850000.00	3728984677.73	1160747.00000	1163476.00000	0.997654442378
2771700000.00	3728984680.29	1161344.00000	1162371.00000	0.999116461095
2772550000.00	3728984681.61	1163451.00000	1162429.00000	1.00087919348
2773400000.00	3728984682.90	1162507.00000	1162784.00000	0.999761778628
2774250000.00	3728984684.19	1158663.00000	1160882.00000	0.998088522348
2775100000.00	3728984685.51	1160477.00000	1163080.00000	0.997761976820
2775950000.00	3728984686.80	1158979.00000	1162030.00000	0.997374422347
2776800000.00	3728984688.09	1160162.00000	1159116.00000	1.00090241184
2777650000.00	3728984689.41	1159472.00000	1161483.00000	0.998268592825
2778500000.00	3728984690.70	1159352.00000	1160861.00000	0.998700102769
2779350000.00	3728984692.03	1162660.00000	1165730.00000	0.997366457070
2780200000.00	3728984693.30	1151531.00000	1150463.00000	1.00092832190
2781050000.00	3728984694.59	1158089.00000	1158189.00000	0.999913658306
2781900000.00	3728984695.92	1159021.00000	1162785.00000	0.996762944138
2782750000.00	3728984697.21	1155669.00000	1156908.00000	0.998929041894
2783600000.00	3728984698.50	1157148.00000	1159077.00000	0.998335744735
2784450000.00	3728984699.83	1158348.00000	1159274.00000	0.999201224214
2785300000.00	3728984701.12	1154571.00000	1154572.00000	0.999999133878
2786150000.00	3728984702.41	1156291.00000	1157249.00000	0.999172174701
2787000000.00	3728984703.73	1158258.00000	1160804.00000	0.997806692603
2787850000.00	3728984705.02	1152479.00000	1157234.00000	0.995891064383
2788700000.00	3728984706.31	1158066.00000	1158692.00000	0.999459735633
2789550000.00	3728984707.63	1155949.00000	1158418.00000	0.997868644997
2790400000.00	3728984708.92	1157455.00000	1158370.00000	0.999210096947
2791250000.00	3728984710.21	1158349.00000	1157627.00000	1.00062368967
2792100000.00	3728984711.54	1158522.00000	1160354.00000	0.998421171470
2792950000.00	3728984712.83	1157570.00000	1159859.00000	0.998026484254
2793800000.00	3728984714.12	1155732.00000	1157675.00000	0.998321636038
2794650000.00	3728984715.45	1159107.00000	1161901.00000	0.997595320083
2795500000.00	3728984716.74	1159871.00000	1161731.00000	0.998398940891
2796350000.00	3728984718.03	1163573.00000	1165499.00000	0.998347488930
2797200000.00	3728984719.36	1163338.00000	1163484.00000	0.999874514819
2798050000.00	3728984720.65	1158285.00000	1157791.00000	1.00042667459
2798900000.00	3728984721.94	1153904.00000	1153633.00000	1.00023491006
2799750000.00	3728984723.27	1159358.00000	1161716.00000	0.997970244018
2800600000.00	3728984724.56	1154631.00000	1156405.00000	0.998465935377
2801450000.00	3728984725.85	1158142.00000	1157608.00000	1.00046129605
2802300000.00	3728984727.18	1159745.00000	1160972.00000	0.998943126966
2803150000.00	3728984728.47	1156247.00000	1157074.00000	0.999285266111
2804000000.00	3728984729.75	1157777.00000	1156744.00000	1.00089302387
2804850000.00	3728984731.08	1153614.00000	1154554.00000	0.999185832798
2805700000.00	3728984732.37	1152071.00000	1153767.00000	0.998530032494
2806550000.00	3728984733.66	1158709.00000	1158455.00000	1.00021925755
2807400000.00	3728984734.99	1149361.00000	1154139.00000	0.995860117369
2808250000.00	3728984736.28	1147095.00000	1146304.00000	1.00069004383
2809100000.00	3728984737.57	1148244.00000	1149550.00000	0.998863903266
2809950000.00	3728984738.90	1156239.00000	1158438.00000	0.998101754259
2810800000.00	3728984740.19	1156422.00000	1157780.00000	0.998827065591
2811650000.00	3728984741.48	1160995.00000	1159277.00000	1.00148195815
2812500000.00	3728984742.80	1154877.00000	1154252.00000	1.00054147621
2813350000.00	3728984744.09	1151890.00000	1152064.00000	0.999848966724
2814200000.00	3728984745.38	1155358.00000	1159332.00000	0.996572163970
2815050000.00	3728984746.70	1154358.00000	1153754.00000	1.00052350848
2815900000.00	3728984747.99	1148967.00000	1150606.00000	0.998575533241
2816750000.00	3728984749.28	1153652.00000	1154914.00000	0.998907277945
2817600000.00	3728984750.60	1151533.00000	1155561.00000	0.996514247192
2818450000.00	3728984751.88	1154214.00000	1154237.00000	0.999980073416
2819300000.00	3728984753.17	1157106.00000	1156568.00000	1.00046516936
2820150000.00	3728984754.49	1149543.00000	1150399.00000	0.999255910341
2821000000.00	3728984755.78	1155454.00000	1157926.00000	0.997865148550
2821850000.00	3728984757.07	1152941.00000	1154089.00000	0.999005276023
2822700000.00	3728984758.39	1158175.00000	1158221.00000	0.999960283918
2823550000.00	3728984759.68	1155717.00000	1156126.00000	0.999646232331
2824400000.00	3728984760.97	1156017.00000	1159419.00000	0.997065771736
2825250000.00	3728984762.29	1149369.00000	1151848.00000	0.997847806308
2826100000.00	3728984763.58	1155147.00000	1154531.00000	1.00053354999
2826950000.00	3728984764.85	1147393.00000	1149046.00000	0.998561415296
2827800000.00	3728984766.17	1147142.00000	1147608.00000	0.999593938000
2828650000.00	3728984767.46	1145705.00000	1150541.00000	0.995796759959
2829500000.00	3728984768.79	1146193.00000	1146362.00000	0.999852577109
2830350000.00	3728984770.08	1146346.00000	1148620.00000	0.998020232975
2831200000.00	3728984771.37	1146325.00000	1147312.00000	0.999139728339
2832050000.00	3728984772.70	1144783.00000	1148371.00000	0.996875574183
2832900000.00	3728984773.99	1147030.00000	1149637.00000	0.997732327683
2833750000.00	3728984775.28	1145839.00000	1152291.00000	0.994400719957
2834600000.00	3728984776.61	1143813.00000	1148503.00000	0.995916423379
2835450000.00	3728984777.90	1137192.00000	1142518.00000	0.995338366660
2836300000.00	3728984779.19	1135787.00000	1149555.00000	0.988023191583
2837150000.00	3728984780.52	1132713.00000	1147477.00000	0.987133511173
2838000000.00	3728984781.81	1133436.00000	1144916.00000	0.989973063526
2838850000.00	3728984783.10	1127015.00000	1142217.00000	0.986690795182
2839700000.00	3728984784.43	1126237.00000	1143620.00000	0.984800020986
2840550000.00	3728984785.72	1131477.00000	1147255.00000	0.986247172599
2841400000.00	3728984787.01	1128242.00000	1143294.00000	0.986834532500
2842250000.00	3728984788.34	1135224.00000	1147413.00000	0.989376972372
2843100000.00	3728984789.63	1134836.00000	1142960.00000	0.992892139707
2843950000.00	3728984790.92	1136749.00000	1146150.00000	0.991797757711
2844800000.00	3728984792.25	1141245.00000	1148947.00000	0.993296470594
2845650000.00	3728984793.54	1145522.00000	1152724.00000	0.993752190464
2846500000.00	3728984794.83	1148782.00000	1149584.00000	0.999302356331
2847350000.00	3728984796.16	1153479.00000	1156714.00000	0.997203284477
2848200000.00	3728984797.45	1147892.00000	1147758.00000	1.00011674935
2849050000.00	3728984798.74	1144700.00000	1146633.00000	0.998314194690
2849900000.00	3728984800.07	1146808.00000	1148400.00000	0.998613723441
2850750000.00	3728984801.36	1146305.00000	1148248.00000	0.998307856839
2851600000.00	3728984802.65	1148288.00000	1148504.00000	0.999811929258
2852450000.00	3728984803.98	1147406.00000	1147100.00000	1.00026675965
2853300000.00	3728984805.27	1154786.00000	1158155.00000	0.997091062941
2854150000.00	3728984806.56	1155198.00000	1156817.00000	0.998600470083
2855000000.00	3728984807.89	1157171.00000	1158787.00000	0.998605438273
2855850000.00	3728984809.18	1146666.00000	1147754.00000	0.999052061679
2856700000.00	3728984810.47	1147431.00000	1148725.00000	0.998873533700
2857550000.00	3728984811.80	1150361.00000	1150626.00000	0.999769690586
2858400000.00	3728984813.09	1155052.00000	1155386.00000	0.999710919121
2859250000.00	3728984814.38	1142256.00000	1146967.00000	0.995892645560
2860100000.00	3728984815.71	1145399.00000	1147272.00000	0.998367431612
2860950000.00	3728984817.00	1144024.00000	1145471.00000	0.998736764178
2861800000.00	3728984818.29	1141983.00000	1146848.00000	0.995757938280
2862650000.00	3728984819.62	1152996.00000	1153760.00000	0.999337817224
2863500000.00	3728984820.91	1148682.00000	1148298.00000	1.00033440797
2864350000.00	3728984822.20	1142913.00000	1148432.00000	0.995194317121
2865200000.00	3728984823.53	1144753.00000	1146574.00000	0.998411790255
2866050000.00	3728984824.82	1147459.00000	1149168.00000	0.998512837113
2866900000.00	3728984826.11	1148489.00000	1150947.00000	0.997864367343
2867750000.00	3728984827.44	1152235.00000	1151630.00000	1.00052534234
2868600000.00	3728984828.73	1150649.00000	1149536.00000	1.00096821674
2869450000.00	3728984830.02	1150497.00000	1152165.00000	0.998552290688
2870300000.00	3728984831.35	1149768.00000	1150773.00000	0.999126673983
2871150000.00	3728984832.64	1150840.00000	1153051.00000	0.998082478572
2872000000.00	3728984833.93	1145940.00000	1150009.00000	0.996461766821
2872850000.00	3728984835.26	1149287.00000	1152100.00000	0.997558371669
2873700000.00	3728984836.55	1151261.00000	1152265.00000	0.999128672658
2874550000.00	3728984837.83	1151992.00000	1151879.00000	1.00009810058
2875400000.00	3728984839.16	1147245.00000	1148593.00000	0.998826390201
2876250000.00	3728984840.45	1150096.00000	1150200.00000	0.999909580942
2877100000.00	3728984841.74	1149576.00000	1152753.00000	0.997243988955
2877950000.00	3728984843.07	1148024.00000	1151685.00000	0.996821179402
2878800000.00	3728984844.36	1150350.00000	1151547.00000	0.998960528750
2879650000.00	3728984845.65	1151377.00000	1151911.00000	0.999536422519
2880500000.00	3728984846.98	1150788.00000	1151325.00000	0.999533580874
2881350000.00	3728984848.27	1145745.00000	1149880.00000	0.996403972588
2882200000.00	3728984849.56	1148116.00000	1150721.00000	0.997736201912
2883050000.00	3728984850.89	1151667.00000	1153310.00000	0.998575404705
2883900000.00	3728984852.18	1150570.00000	1153665.00000	0.997317245474
2884750000.00	3728984853.47	1149710.00000	1150291.00000	0.999494910418
2885600000.00	3728984854.80	1149178.00000	1151483.00000	0.997998233582
2886450000.00	3728984856.09	1142521.00000	1143787.00000	0.998893150560
2887300000.00	3728984857.38	1140977.00000	1140971.00000	1.00000525868
2888150000.00	3728984858.71	1138527.00000	1140334.00000	0.998415376548
2889000000.00	3728984860.00	1139436.00000	1141360.00000	0.998314291722
2889850000.00	3728984861.29	1138760.00000	1143877.00000	0.995526616935
2890700000.00	3728984862.57	1133296.00000	1139022.00000	0.994972880243
2891550000.00	3728984863.90	1140112.00000	1143903.00000	0.996685907809
2892400000.00	3728984865.19	1139408.00000	1145654.00000	0.994548092181
2893250000.00	3728984866.47	1140149.00000	1149562.00000	0.991811663921
2894100000.00	3728984867.79	1128063.00000	1140732.00000	0.988893973343
2894950000.00	3728984869.07	1128638.00000	1140132.00000	0.989918711167
2895800000.00	3728984870.36	1121313.00000	1138080.00000	0.985267292282
2896650000.00	3728984871.69	1120111.00000	1137968.00000	0.984307994601
2897500000.00	3728984872.99	1123297.00000	1142478.00000	0.983211055268
2898350000.00	3728984874.28	1119572.00000	1138894.00000	0.983034417602
2899200000.00	3728984875.61	1123466.00000	1142615.00000	0.983241074203
2900050000.00	3728984876.89	1125900.00000	1140530.00000	0.987172630268
2900900000.00	3728984878.17	1128765.00000	1141568.00000	0.988784724169
2901750000.00	3728984879.50	1130565.00000	1144249.00000	0.988041064489
2902600000.00	3728984880.79	1135626.00000	1145749.00000	0.991164731542
2903450000.00	3728984882.08	1138580.00000	1145183.00000	0.994234109308
2904300000.00	3728984883.41	1136829.00000	1141323.00000	0.996062464351
2905150000.00	3728984884.70	1141426.00000	1144902.00000	0.996963932284
2906000000.00	3728984885.99	1142728.00000	1143742.00000	0.999113436422
2906850000.00	3728984887.28	1140180.00000	1143326.00000	0.997248378853
2907700000.00	3728984888.60	1138135.00000	1139779.00000	0.998557615117
2908550000.00	3728984889.89	1140812.00000	1142545.00000	0.998483210727
2909400000.00	3728984891.18	1144702.00000	1146250.00000	0.998649509269
2910250000.00	3728984892.50	1145702.00000	1146738.00000	0.999096567830
2911100000.00	3728984893.78	1142653.00000	1146760.00000	0.996418605462
2911950000.00	3728984895.11	1142394.00000	1145310.00000	0.997453964429
2912800000.00	3728984896.40	1141283.00000	1141296.00000	0.999988609440
2913650000.00	3728984897.69	1141816.00000	1140890.00000	1.00081164705
2914500000.00	3728984899.01	1142997.00000	1144976.00000	0.998271579492
2915350000.00	3728984900.30	1143969.00000	1146078.00000	0.998159811112
2916200000.00	3728984901.59	1152283.00000	1152031.00000	1.00021874411
2917050000.00	3728984902.92	1149117.00000	1147442.00000	1.00145976877
2917900000.00	3728984904.21	1141771.00000	1143016.00000	0.998910776402
2918750000.00	3728984905.50	1143718.00000	1144988.00000	0.998890818070
2919600000.00	3728984906.83	1140920.00000	1141456.00000	0.999530424300
2920450000.00	3728984908.12	1142707.00000	1145500.00000	0.997561763422
2921300000.00	3728984909.41	1146071.00000	1146519.00000	0.999609252005
2922150000.00	3728984910.74	1146722.00000	1149459.00000	0.997618879838
2923000000.00	3728984912.03	1144626.00000	1143344.00000	1.00112127234
2923850000.00	3728984913.32	1152191.00000	1152622.00000	0.999626069952
2924700000.00	3728984914.64	1153871.00000	1154256.00000	0.999666451810
2925550000.00	3728984915.93	1150182.00000	1151987.00000	0.998433142041
2926400000.00	3728984917.26	1145460.00000	1145460.00000	1.00000000000
2927250000.00	3728984918.55	1146876.00000	1149028.00000	0.998127112655
2928100000.00	3728984919.84	1154311.00000	1155135.00000	0.999286663464
2928950000.00	3728984921.17	1153732.00000	1156873.00000	0.997284922373
2929800000.00	3728984922.46	1155230.00000	1156697.00000	0.998731733548
2930650000.00	3728984923.75	1152856.00000	1154395.00000	0.998666834143
2931500000.00	3728984925.08	1155293.00000	1154096.00000	1.00103717542
2932350000.00	3728984926.37	1152638.00000	1152233.00000	1.00035149141
2933200000.00	3728984927.66	1154011.00000	1155059.00000	0.999092687040
2934050000.00	3728984928.97	1151827.00000	1155760.00000	0.996597044369
2934900000.00	3728984930.26	1153716.00000	1153448.00000	1.00023234684
2935750000.00	3728984931.55	1155840.00000	1159466.00000	0.996872698294
2936600000.00	3728984932.88	1158357.00000	1158510.00000	0.999867933812
2937450000.00	3728984934.17	1154424.00000	1151704.00000	1.00236171794
2938300000.00	3728984935.46	1153570.00000	1155881.00000	0.998000659237
2939150000.00	3728984936.78	1155345.00000	1153617.00000	1.00149789748
2940000000.00	3728984938.07	1152319.00000	1153733.00000	0.998774413144
2940850000.00	3728984939.36	1151649.00000	1154735.00000	0.997327525363
2941700000.00	3728984940.69	1153306.00000	1153718.00000	0.999642893671
2942550000.00	3728984941.98	1151529.00000	1149728.00000	1.00156645746
2943400000.00	3728984943.27	1155721.00000	1157275.00000	0.998657190383
2944250000.00	3728984944.60	1153054.00000	1156111.00000	0.997355790231
2945100000.00	3728984945.89	1147974.00000	1147294.00000	1.00059269899
2945950000.00	3728984947.18	1150457.00000	1149382.00000	1.00093528522
2946800000.00	3728984948.51	1146974.00000	1147271.00000	0.999741124808
2947650000.00	3728984949.80	1147945.00000	1148207.00000	0.999771818148
2948500000.00	3728984951.09	1145269.00000	1147529.00000	0.998030550862
2949350000.00	3728984952.42	1144351.00000	1146118.00000	0.998458273930
2950200000.00	3728984953.71	1149391.00000	1149930.00000	0.999531275817
2951050000.00	3728984955.00	1150527.00000	1149445.00000	1.00094132386
2951900000.00	3728984956.31	1142915.00000	1147391.00000	0.996098975850
2952750000.00	3728984957.60	1146095.00000	1146860.00000	0.999332961303
2953600000.00	3728984958.89	1144281.00000	1146978.00000	0.997648603548
2954450000.00	3728984960.22	1147190.00000	1147624.00000	0.999621827358
2955300000.00	3728984961.51	1146584.00000	1150425.00000	0.996661233892
2956150000.00	3728984962.80	1146534.00000	1148218.00000	0.998533379550
2957000000.00	3728984964.12	1145858.00000	1144349.00000	1.00131865366
2957850000.00	3728984965.41	1143186.00000	1146617.00000	0.997007719230
2958700000.00	3728984966.70	1148407.00000	1148119.00000	1.00025084508
2959550000.00	3728984968.02	1147060.00000	1149603.00000	0.997787932008
2960400000.00	3728984969.31	1149636.00000	1153911.00000	0.996295208209
2961250000.00	3728984970.64	1148146.00000	1149763.00000	0.998593623208
2962100000.00	3728984971.93	1150970.00000	1149719.00000	1.00108809196
2962950000.00	3728984973.22	1151127.00000	1151260.00000	0.999884474402
2963800000.00	3728984974.55	1147413.00000	1148546.00000	0.999013535374
2964650000.00	3728984975.84	1149107.00000	1150513.00000	0.998777936451
2965500000.00	3728984977.13	1152493.00000	1150552.00000	1.00168701632
2966350000.00	3728984978.46	1149161.00000	1151736.00000	0.997764244584
2967200000.00	3728984979.75	1150173.00000	1150315.00000	0.999876555552
2968050000.00	3728984981.04	1147630.00000	1150301.00000	0.997677999063
2968900000.00	3728984982.37	1150121.00000	1151935.00000	0.998425258370
2969750000.00	3728984983.66	1150787.00000	1152334.00000	0.998657507285
