#Sample	Not specified	
#B-Field Phi	7.49987984020E+1	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728989325.09	967583.000000	968077.000000	0.999489710013
2770850000.00	3728989326.38	975702.000000	976365.000000	0.999320950669
2771700000.00	3728989327.71	978253.000000	976357.000000	1.00194191264
2772550000.00	3728989329.00	966227.000000	964728.000000	1.00155380584
2773400000.00	3728989330.29	963325.000000	964822.000000	0.998448418465
2774250000.00	3728989331.61	957115.000000	958163.000000	0.998906240379
2775100000.00	3728989332.90	952533.000000	953406.000000	0.999084335530
2775950000.00	3728989334.19	953359.000000	953370.000000	0.999988461982
2776800000.00	3728989335.52	954076.000000	955714.000000	0.998286098142
2777650000.00	3728989336.82	948772.000000	949759.000000	0.998960789000
2778500000.00	3728989338.11	951128.000000	951707.000000	0.999391619480
2779350000.00	3728989339.44	941191.000000	943018.000000	0.998062603259
2780200000.00	3728989340.73	941742.000000	943809.000000	0.997809938240
2781050000.00	3728989342.00	943794.000000	946240.000000	0.997415032127
2781900000.00	3728989343.33	952871.000000	954223.000000	0.998583140419
2782750000.00	3728989344.62	945653.000000	948643.000000	0.996848129381
2783600000.00	3728989345.90	943820.000000	943725.000000	1.00010066492
2784450000.00	3728989347.23	943111.000000	942370.000000	1.00078631535
2785300000.00	3728989348.53	941873.000000	942406.000000	0.999434426351
2786150000.00	3728989349.82	937320.000000	939730.000000	0.997435433582
2787000000.00	3728989351.15	943086.000000	943554.000000	0.999504002951
2787850000.00	3728989352.44	935358.000000	935413.000000	0.999941202442
2788700000.00	3728989353.73	940300.000000	940276.000000	1.00002552442
2789550000.00	3728989355.05	937633.000000	938989.000000	0.998555893626
2790400000.00	3728989356.34	931982.000000	931324.000000	1.00070652104
2791250000.00	3728989357.63	936673.000000	937436.000000	0.999186077770
2792100000.00	3728989358.97	940291.000000	940118.000000	1.00018401945
2792950000.00	3728989360.26	937975.000000	941004.000000	0.996781097636
2793800000.00	3728989361.55	946091.000000	947693.000000	0.998309579157
2794650000.00	3728989362.88	940281.000000	940639.000000	0.999619407658
2795500000.00	3728989364.17	945325.000000	945533.000000	0.999780018254
2796350000.00	3728989365.46	943424.000000	944916.000000	0.998421023668
2797200000.00	3728989366.79	937072.000000	935964.000000	1.00118380621
2798050000.00	3728989368.07	936066.000000	936649.000000	0.999377568331
2798900000.00	3728989369.37	932794.000000	932248.000000	1.00058568106
2799750000.00	3728989370.70	930227.000000	932809.000000	0.997232016415
2800600000.00	3728989371.99	928705.000000	929333.000000	0.999324246530
2801450000.00	3728989373.28	933389.000000	934621.000000	0.998681818620
2802300000.00	3728989374.61	931208.000000	933699.000000	0.997332116667
2803150000.00	3728989375.90	929509.000000	930390.000000	0.999053085265
2804000000.00	3728989377.19	934420.000000	934069.000000	1.00037577524
2804850000.00	3728989378.52	933680.000000	931771.000000	1.00204878667
2805700000.00	3728989379.80	931681.000000	933352.000000	0.998209678664
2806550000.00	3728989381.09	939835.000000	939801.000000	1.00003617787
2807400000.00	3728989382.42	933120.000000	934190.000000	0.998854622721
2808250000.00	3728989383.71	933518.000000	936477.000000	0.996840285453
2809100000.00	3728989385.00	931536.000000	933715.000000	0.997666311455
2809950000.00	3728989386.32	930010.000000	932678.000000	0.997139420036
2810800000.00	3728989387.61	929579.000000	930096.000000	0.999444143400
2811650000.00	3728989388.90	916051.000000	918056.000000	0.997816037366
2812500000.00	3728989390.22	925348.000000	926040.000000	0.999252732063
2813350000.00	3728989391.50	936743.000000	934506.000000	1.00239377810
2814200000.00	3728989392.80	936613.000000	934656.000000	1.00209381847
2815050000.00	3728989394.13	929191.000000	929599.000000	0.999561101077
2815900000.00	3728989395.42	925935.000000	927772.000000	0.998019987669
2816750000.00	3728989396.71	917491.000000	918179.000000	0.999250690769
2817600000.00	3728989398.03	928174.000000	927102.000000	1.00115629133
2818450000.00	3728989399.32	931482.000000	932073.000000	0.999365929493
2819300000.00	3728989400.65	936798.000000	936423.000000	1.00040046005
2820150000.00	3728989401.94	946441.000000	946469.000000	0.999970416358
2821000000.00	3728989403.22	946193.000000	946552.000000	0.999620728708
2821850000.00	3728989404.56	947527.000000	947633.000000	0.999888142350
2822700000.00	3728989405.85	941770.000000	945095.000000	0.996481835159
2823550000.00	3728989407.14	932137.000000	934290.000000	0.997695576320
2824400000.00	3728989408.46	933806.000000	936072.000000	0.997579246041
2825250000.00	3728989409.75	936190.000000	937545.000000	0.998554736039
2826100000.00	3728989411.08	928150.000000	929445.000000	0.998606695393
2826950000.00	3728989412.37	928030.000000	930260.000000	0.997602820717
2827800000.00	3728989413.66	937541.000000	937575.000000	0.999963736234
2828650000.00	3728989414.99	943527.000000	945368.000000	0.998052610200
2829500000.00	3728989416.28	938386.000000	935112.000000	1.00350118488
2830350000.00	3728989417.57	932377.000000	933464.000000	0.998835520170
2831200000.00	3728989418.90	932686.000000	935554.000000	0.996934436708
2832050000.00	3728989420.19	933825.000000	936064.000000	0.997608069534
2832900000.00	3728989421.48	929465.000000	931568.000000	0.997742515844
2833750000.00	3728989422.81	932933.000000	933403.000000	0.999496466157
2834600000.00	3728989424.10	933739.000000	933722.000000	1.00001820670
2835450000.00	3728989425.39	929336.000000	929600.000000	0.999716006885
2836300000.00	3728989426.71	912336.000000	912837.000000	0.999451161598
2837150000.00	3728989428.00	919096.000000	919749.000000	0.999290023691
2838000000.00	3728989429.29	927581.000000	927538.000000	1.00004635929
2838850000.00	3728989430.62	927318.000000	931629.000000	0.995372621505
2839700000.00	3728989431.91	926579.000000	930042.000000	0.996276512244
