#Sample	Not specified	
#B-Field Theta	1.39999532928E+2	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2790000000.00	3728994593.42	1182424.00000	1183015.00000	0.999500428989
2790850000.00	3728994594.75	1180360.00000	1179812.00000	1.00046448078
2791700000.00	3728994596.04	1176513.00000	1177444.00000	0.999209304222
2792550000.00	3728994597.33	1181927.00000	1185866.00000	0.996678376815
2793400000.00	3728994598.66	1170737.00000	1172875.00000	0.998177128850
2794250000.00	3728994599.95	1163083.00000	1166180.00000	0.997344320774
2795100000.00	3728994601.24	1167567.00000	1167707.00000	0.999880106910
2795950000.00	3728994602.56	1166594.00000	1168608.00000	0.998276582053
2796800000.00	3728994603.85	1171084.00000	1173782.00000	0.997701447117
2797650000.00	3728994605.13	1176192.00000	1177744.00000	0.998682226358
2798500000.00	3728994606.46	1175865.00000	1178696.00000	0.997598193258
2799350000.00	3728994607.75	1179212.00000	1181301.00000	0.998231610741
2800200000.00	3728994609.04	1177311.00000	1178317.00000	0.999146239934
2801050000.00	3728994610.37	1176350.00000	1176714.00000	0.999690664002
2801900000.00	3728994611.66	1172141.00000	1172731.00000	0.999496900824
2802750000.00	3728994612.95	1162872.00000	1163000.00000	0.999889939811
2803600000.00	3728994614.28	1163900.00000	1166835.00000	0.997484648644
2804450000.00	3728994615.56	1166047.00000	1168575.00000	0.997836681428
2805300000.00	3728994616.86	1171187.00000	1172352.00000	0.999006271154
2806150000.00	3728994618.18	1167654.00000	1169931.00000	0.998053731374
2807000000.00	3728994619.47	1162343.00000	1165015.00000	0.997706467299
2807850000.00	3728994620.76	1168027.00000	1169008.00000	0.999160826958
2808700000.00	3728994622.09	1158709.00000	1162028.00000	0.997143786552
2809550000.00	3728994623.38	1169766.00000	1171285.00000	0.998703133738
2810400000.00	3728994624.67	1163759.00000	1167076.00000	0.997157854330
2811250000.00	3728994626.00	1174096.00000	1174801.00000	0.999399898366
2812100000.00	3728994627.28	1172598.00000	1175314.00000	0.997689128182
2812950000.00	3728994628.58	1175488.00000	1173758.00000	1.00147389837
2813800000.00	3728994629.91	1179323.00000	1181026.00000	0.998558033439
2814650000.00	3728994631.20	1174590.00000	1174195.00000	1.00033640068
2815500000.00	3728994632.49	1166599.00000	1165830.00000	1.00065961590
2816350000.00	3728994633.82	1162624.00000	1164537.00000	0.998357287059
2817200000.00	3728994635.11	1173965.00000	1176013.00000	0.998258522652
2818050000.00	3728994636.40	1176756.00000	1177607.00000	0.999277348046
2818900000.00	3728994637.72	1184182.00000	1181286.00000	1.00245156550
2819750000.00	3728994639.02	1183682.00000	1185046.00000	0.998848989828
2820600000.00	3728994640.31	1164156.00000	1170130.00000	0.994894584362
2821450000.00	3728994641.62	1170975.00000	1171345.00000	0.999684123806
2822300000.00	3728994642.91	1166983.00000	1168208.00000	0.998951385370
2823150000.00	3728994644.20	1168428.00000	1170829.00000	0.997949316254
